word	sth	binarySentiment	smallScaleSentiment	bigScaleSentiment	SO-PMI_score
nosić	c	0	0	0	4.2
milutki	m	1	-1	-1	-1.0
starać	m	1	1	1	1.2
włos	c	0	-1	0	0.1
swoisty	m	0	1	0	0.9
przerobić	c	0	0	0	-0.5
hurtowo	c	0	0	0	-1.0
błogo	m	1	-1	2	-1.0
zbawić	c	0	1	1	-0.0
bilet	c	0	-1	-1	-2.3
kobieta	c	0	-1	-1	2.4
dobitnie	m	1	-1	-1	-2.6
poprawny	m	0	1	0	-2.0
lustr	c	0	0	0	-0.5
fiskalny	m	0	-1	0	-2.6
sprzymierzeniec	c	1	1	-1	-0.0
stosowany	c	0	-1	0	-5.7
odważny	m	1	1	1	-1.9
bezużyteczny	m	0	1	2	-0.0
dowcip	c	1	1	-2	1.8
bezpieczny	m	1	1	0	-1.2
morderca	c	1	1	-2	-4.0
bezgłośny	m	1	-1	0	-2.6
serwer	c	1	1	0	1.5
uczuciowy	m	1	1	-2	-3.5
bezpieczno	c	1	1	0	-1.0
porównywalny	c	0	0	0	-2.0
paryż	c	1	1	0	-1.0
twój	m	1	1	1	9.0
tunel	c	1	-1	0	1.7
medycyna	c	0	1	0	-1.1
umysł	c	0	-1	0	3.2
mądrość	c	1	-1	0	6.1
wyzywać	c	1	-1	-1	-2.6
odwrotnie	c	1	-1	-2	1.6
użyteczny	m	1	1	0	2.5
kolczyk	c	1	1	0	-0.8
remont	c	1	-1	-1	2.2
ofiarny	m	1	1	0	1.3
odpowiednik	c	0	0	0	-1.0
odpowiednio	c	0	0	0	-0.9
surowo	m	1	1	0	0.5
obrót	c	0	0	0	-7.1
oddalić	m	1	1	0	-0.5
niezwykle	c	1	1	1	-1.5
zwolennik	c	1	1	1	0.5
imię	c	0	1	0	8.0
zmanierować	c	1	-1	-1	-1.0
młodzieżowy	c	1	1	1	-0.5
epicki	m	0	1	-1	-1.0
pięcioletni	c	0	-1	0	-0.0
różny	m	0	1	0	5.3
instrument	c	0	0	-2	-0.6
grafik	c	0	0	0	1.3
znośny	m	0	-1	-1	-2.0
osobisty	m	1	1	-1	2.4
brama	c	0	0	-1	-0.2
uchwycić	c	1	1	0	-1.0
pierwszy	m	0	1	1	6.0
unia	c	0	1	0	-3.3
przesadnie	c	0	-1	-1	-1.0
rano	c	0	-1	0	1.0
myśl	c	1	1	0	3.2
prowadzony	c	1	-1	0	-5.0
